NAME	ID	BIN#	LAT	LON	PREDICTIONS
Nodule Point, 0.5 mi. SE of (Depth 25ft)	PUG1615	13	48.0287° N	122.6609° W	Harmonic
Nodule Point, 0.5 mi. SE of (Depth 65ft)	PUG1615	1	48.0287° N	122.6609° W	Harmonic
Admiralty Inlet (off Bush Point) (Depth 29ft)	PUG1616	31	48.0335° N	122.6376° W	Harmonic
Admiralty Inlet (off Bush Point) (Depth 68ft)	PUG1616	25	48.0335° N	122.6376° W	Harmonic
Admiralty Inlet (off Bush Point) (Depth 193ft)	PUG1616	6	48.0335° N	122.6376° W	Harmonic
Bush Point Light, 0.5 mile NW of (Depth 44ft)	PUG1617	39	48.0308° N	122.6133° W	Harmonic
Bush Point Light, 0.5 mile NW of (Depth 77ft)	PUG1617	34	48.0308° N	122.6133° W	Harmonic
Bush Point Light, 0.5 mile NW of (Depth 208ft)	PUG1617	14	48.0308° N	122.6133° W	Harmonic
Olele Point, 1.8 mi. ENE of (Depth 20ft)	PUG1611	49	47.9788° N	122.6455° W	Harmonic
Olele Point, 1.8 mi. ENE of (Depth 66ft)	PUG1611	35	47.9788° N	122.6455° W	Harmonic
Olele Point, 1.8 mi. ENE of (Depth 148ft)	PUG1611	10	47.9788° N	122.6455° W	Harmonic
Port Townsend Canal (Depth 5ft)	PUG1614	7	48.0325° N	122.7326° W	Harmonic
Port Townsend Canal (Depth 15ft)	PUG1614	1	48.0325° N	122.7326° W	Harmonic
HOOD CANAL					
Hood Canal Entrance, Foulweather Bluff (Depth 32ft)	PUG1608	35	47.9284° N	122.6388° W	Harmonic
Hood Canal Entrance, Foulweather Bluff (Depth 78ft)	PUG1608	28	47.9284° N	122.6388° W	Harmonic
Hood Canal Entrance, Foulweather Bluff (Depth 255ft)	PUG1608	1	47.9284° N	122.6388° W	Harmonic
Port Gamble Bay, 0.5 mile N of entrance	PCT1571	1	47.8645° N	122.5772° W	Weak and Variable
Port Gamble Bay Entrance (Depth 10ft)	PUG1604	8	47.8547° N	122.5782° W	Harmonic
Port Gamble Bay Entrance (Depth 32ft)	PUG1604	1	47.8547° N	122.5782° W	Harmonic
Hood Canal Bridge (Depth 22ft)	PUG1603	20	47.8547° N	122.6294° W	Harmonic
Hood Canal Bridge (Depth 111ft)	PUG1603	11	47.8547° N	122.6294° W	Harmonic
Hood Canal Bridge (Depth 209ft)	PUG1603	1	47.8547° N	122.6294° W	Harmonic
South Point (Depth 24ft)	PUG1602	48	47.8217° N	122.6767° W	Harmonic
South Point (Depth 43ft)	PUG1602	42	47.8217° N	122.6767° W	Harmonic
South Point (Depth 178ft)	PUG1602	1	47.8217° N	122.6767° W	Harmonic
Bangor, Hood Canal LB B (Depth 14ft)	ks0201	2	47.7578° N	122.7306° W	Harmonic
Bangor, Hood Canal LB B (Depth 28ft)	ks0201	6	47.7578° N	122.7306° W	Harmonic
Bangor, Hood Canal LB B (Depth 41ft)	ks0201	10	47.7578° N	122.7306° W	Harmonic
Hazel Point (Depth 23ft)	PUG1601	21	47.6912° N	122.7628° W	Harmonic
Hazel Point (Depth 88ft)	PUG1601	11	47.6912° N	122.7628° W	Harmonic
Hazel Point (Depth 154ft)	PUG1601	1	47.6912° N	122.7628° W	Harmonic
Chinom Point	PCT1596	1	47.5333° N	123.0333° W	Weak and Variable
PUGET SOUND					
Useless Bay	PCT1606	1	47.9783° N	122.4953° W	Weak and Variable
Foulweather Bluff, 1.9 mi. NE of (Depth 20ft)	PUG1610	33	47.9543° N	122.5786° W	Harmonic
Foulweather Bluff, 1.9 mi. NE of (Depth 27ft)	PUG1610	32	47.9543° N	122.5786° W	Harmonic
Foulweather Bluff, 1.9 mi. NE of (Depth 125ft)	PUG1610	17	47.9543° N	122.5786° W	Harmonic
Point No Point, 1.2 mi. E of (Depth 69ft)	PUG1606	39	47.9125° N	122.5020° W	Harmonic
Point No Point, 1.2 mi. E of (Depth 108ft)	PUG1606	36	47.9125° N	122.5020° W	Harmonic
Point No Point, 1.2 mi. E of (Depth 567ft)	PUG1606	1	47.9125° N	122.5020° W	Harmonic
Point No Point, 2.1 mi. E of (Depth 31ft)	PUG1607	33	47.9189° N	122.4841° W	Harmonic
Point No Point, 2.1 mi. E of (Depth 57ft)	PUG1607	29	47.9189° N	122.4841° W	Harmonic
Point No Point, 2.1 mi. E of (Depth 240ft)	PUG1607	1	47.9189° N	122.4841° W	Harmonic
Edmonds, 2.5 miles West of (Depth 67ft)	PUG1503	34	47.8071° N	122.4441° W	Harmonic
Edmonds, 2.5 miles West of (Depth 133ft)	PUG1503	29	47.8071° N	122.4441° W	Harmonic
Edmonds, 2.5 miles West of (Depth 317ft)	PUG1503	15	47.8071° N	122.4441° W	Harmonic
President Point, 1.5 miles east of (Depth 71ft)	PUG1511	38	47.7671° N	122.4319° W	Harmonic
President Point, 1.5 miles east of (Depth 176ft)	PUG1511	30	47.7671° N	122.4319° W	Harmonic
President Point, 1.5 miles east of (Depth 308ft)	PUG1511	20	47.7671° N	122.4319° W	Harmonic
Point Jefferson, East of (Depth 19ft)	PUG1509	9	47.7445° N	122.4680° W	Harmonic
Point Jefferson, East of (Depth 45ft)	PUG1509	5	47.7445° N	122.4680° W	Harmonic
Point Jefferson, East of (Depth 71ft)	PUG1509	1	47.7445° N	122.4680° W	Harmonic
Agate Passage, north end	PCT1636	1	47.7220° N	122.5550° W	Subordinate
Agate Passage, south end (Depth 9ft)	PUG1501	6	47.7110° N	122.5671° W	Harmonic
Agate Passage, south end (Depth 25ft)	PUG1501	1	47.7110° N	122.5671° W	Harmonic
Port Orchard	PCT1646	1	47.6375° N	122.5847° W	Weak and Variable
Port Orchard, off Keyport	PCT1651	1	47.7003° N	122.6083° W	Weak and Variable
Liberty Bay (entrance), Port Orchard (Depth 7ft)	PUG1508	10	47.7068° N	122.6282° W	Harmonic
Liberty Bay (entrance), Port Orchard (Depth 24ft)	PUG1508	5	47.7068° N	122.6282° W	Harmonic
Liberty Bay (entrance), Port Orchard (Depth 37ft)	PUG1508	1	47.7068° N	122.6282° W	Harmonic
Shilshole Bay	PCT1661	1	47.6833° N	122.4167° W	Weak and Variable
West Point, West of (Depth 16ft)	PUG1515	15	47.6621° N	122.4417° W	Harmonic
West Point, West of (Depth 49ft)	PUG1515	10	47.6621° N	122.4417° W	Harmonic
West Point, West of (Depth 108ft)	PUG1515	1	47.6621° N	122.4417° W	Harmonic
West Point, 1.2 miles west of	PCT1671	1	47.6595° N	122.4653° W	Weak and Variable
Entrance to Ballard Locks (Depth 9ft)	PUG1504	7	47.6710° N	122.4070° W	Weak and Variable
Elliott Bay entrance	PCT1676	1	47.6120° N	122.4072° W	Weak and Variable
Alki Point, West of (Depth 38ft)	PUG1516	17	47.5761° N	122.4278° W	Harmonic
Alki Point, West of (Depth 103ft)	PUG1516	12	47.5761° N	122.4278° W	Harmonic
Alki Point, West of (Depth 195ft)	PUG1516	5	47.5761° N	122.4278° W	Harmonic
Alki Point, 1 mile West of (Depth 76ft)	PUG1502	44	47.5837° N	122.4518° W	Harmonic
Alki Point, 1 mile West of (Depth 194ft)	PUG1502	35	47.5837° N	122.4518° W	Harmonic
Alki Point, 1 mile West of (Depth 483ft)	PUG1502	13	47.5837° N	122.4518° W	Harmonic
Harbor Island West (Depth 9ft)	PUG1507	13	47.5831° N	122.3602° W	Harmonic
Harbor Island West (Depth 22ft)	PUG1507	9	47.5831° N	122.3602° W	Harmonic
Harbor Island East (Depth 6ft)	PUG1506	12	47.5885° N	122.3440° W	Weak and Variable
Restoration Point (Depth 22ft)	PUG1512	19	47.5789° N	122.4687° W	Harmonic
Restoration Point (Depth 81ft)	PUG1512	10	47.5789° N	122.4687° W	Harmonic
Restoration Point (Depth 140ft)	PUG1512	1	47.5789° N	122.4687° W	Harmonic
Rich Passage					
Rich Passage, East end (Depth 11ft)	PUG1513	10	47.5700° N	122.5298° W	Harmonic
Rich Passage, East end (Depth 38ft)	PUG1513	6	47.5700° N	122.5298° W	Harmonic
Rich Passage, East end (Depth 70ft)	PUG1513	1	47.5700° N	122.5298° W	Harmonic
Off Pleasant Beach	PCT1701	1	47.5833° N	122.5333° W	Subordinate
Rich Passage, LB 8 (Depth 11ft)	ks0101	1	47.5933° N	122.5426° W	Harmonic
Rich Passage, LB 8 (Depth 14ft)	ks0101	2	47.5933° N	122.5426° W	Harmonic
Rich Passage, LB 8 (Depth 31ft)	ks0101	7	47.5933° N	122.5426° W	Harmonic
Rich Passage, West end (Depth 12ft)	PUG1514	8	47.5899° N	122.5623° W	Harmonic
Rich Passage, West end (Depth 31ft)	PUG1514	5	47.5899° N	122.5623° W	Harmonic
Rich Passage, West end (Depth 57ft)	PUG1514	1	47.5899° N	122.5623° W	Harmonic
Entrance to Eagle Harbor (Depth 9ft)	PUG1505	8	47.6196° N	122.4953° W	Harmonic
Entrance to Eagle Harbor (Depth 32ft)	PUG1505	1	47.6196° N	122.4953° W	Weak and Variable
Port Orchard, southwest of Waterman	PCT1711	1	47.5667° N	122.6000° W	Weak and Variable
Port Washington Narrows, Warren Ave. Bridge (Depth 4ft)	PUG1510	6	47.5796° N	122.6307° W	Harmonic
Port Washington Narrows, Warren Ave. Bridge (Depth 21ft)	PUG1510	1	47.5796° N	122.6307° W	Harmonic
Blake Island, S of (Depth 44ft)	PUG1517	21	47.5203° N	122.4879° W	Harmonic
Blake Island, S of (Depth 93ft)	PUG1517	16	47.5203° N	122.4879° W	Harmonic
Blake Island, S of (Depth 172ft)	PUG1517	8	47.5203° N	122.4879° W	Harmonic
Dolphin Point, 1.3 miles East of (Depth 48ft)	PUG1520	35	47.5016° N	122.4236° W	Harmonic
Dolphin Point, 1.3 miles East of (Depth 139ft)	PUG1520	28	47.5016° N	122.4236° W	Harmonic
Anderson Point, East of, Colvos Passage (Depth 35ft)	PUG1518	19	47.4394° N	122.5258° W	Harmonic
Anderson Point, East of, Colvos Passage (Depth 62ft)	PUG1518	17	47.4394° N	122.5258° W	Harmonic
Anderson Point, East of, Colvos Passage (Depth 154ft)	PUG1518	10	47.4394° N	122.5258° W	Harmonic
Point Richmond, East of, Colvos Passage (Depth 44ft)	PUG1519	18	47.3766° N	122.5287° W	Harmonic
Point Richmond, East of, Colvos Passage (Depth 110ft)	PUG1519	13	47.3766° N	122.5287° W	Harmonic
Point Richmond, East of, Colvos Passage (Depth 241ft)	PUG1519	3	47.3766° N	122.5287° W	Harmonic
Browns Point, 1.6 miles North of (Depth 28ft)	PUG1521	34	47.3287° N	122.4540° W	Harmonic
Browns Point, 1.6 miles North of (Depth 159ft)	PUG1521	24	47.3287° N	122.4540° W	Harmonic
Browns Point, 1.6 miles North of (Depth 290ft)	PUG1521	14	47.3287° N	122.4540° W	Harmonic
Dalco Passage (Depth 128ft)	PUG1522	12	47.3251° N	122.5247° W	Harmonic
Dalco Passage (Depth 187ft)	PUG1522	3	47.3251° N	122.5247° W	Harmonic
Gig Harbor Entrance (Depth 11ft)	PUG1523	14	47.3242° N	122.5719° W	Harmonic
Gig Harbor Entrance (Depth 31ft)	PUG1523	8	47.3242° N	122.5719° W	Harmonic
Gig Harbor Entrance (Depth 54ft)	PUG1523	1	47.3242° N	122.5719° W	Harmonic
The Narrows					
The Narrows, North end - midstream (Depth 40ft)	PUG1524	16	47.3060° N	122.5500° W	Harmonic
The Narrows, North end - midstream (Depth 87ft)	PUG1524	9	47.3060° N	122.5500° W	Harmonic
The Narrows, North end - midstream (Depth 139ft)	PUG1524	1	47.3060° N	122.5500° W	Harmonic
The Narrows, North End (west side) (Depth 42ft)	PUG1526	28	47.3040° N	122.5567° W	Harmonic
The Narrows, North End (west side) (Depth 95ft)	PUG1526	20	47.3040° N	122.5567° W	Harmonic
The Narrows, North End (west side) (Depth 193ft)	PUG1526	5	47.3040° N	122.5567° W	Harmonic
The Narrows, 0.3 miles North of Bridge (Depth 23ft)	PUG1527	19	47.2743° N	122.5453° W	Harmonic
The Narrows, 0.3 miles North of Bridge (Depth 69ft)	PUG1527	12	47.2743° N	122.5453° W	Harmonic
The Narrows, 0.3 miles North of Bridge (Depth 141ft)	PUG1527	1	47.2743° N	122.5453° W	Harmonic
The Narrows, South end (midstream) (Depth 26ft)	PUG1528	17	47.2613° N	122.5583° W	Harmonic
The Narrows, South end (midstream) (Depth 52ft)	PUG1528	13	47.2613° N	122.5583° W	Harmonic
The Narrows, South end (midstream) (Depth 131ft)	PUG1528	1	47.2613° N	122.5583° W	Harmonic
Hale Passage, East end (Depth 11ft)	PUG1529	11	47.2479° N	122.5956° W	Harmonic
Hale Passage, East end (Depth 44ft)	PUG1529	6	47.2479° N	122.5956° W	Harmonic
Hale Passage, East end (Depth 77ft)	PUG1529	1	47.2479° N	122.5956° W	Harmonic
Hale Passage, West end (Depth 14ft)	PUG1530	18	47.2814° N	122.6631° W	Harmonic
Hale Passage, West end (Depth 40ft)	PUG1530	10	47.2814° N	122.6631° W	Harmonic
Hale Passage, West end (Depth 70ft)	PUG1530	1	47.2814° N	122.6631° W	Harmonic
Gibson Point, 0.8 miles East of (Depth 31ft)	PUG1531	18	47.2191° N	122.5887° W	Harmonic
Gibson Point, 0.8 miles East of (Depth 81ft)	PUG1531	13	47.2191° N	122.5887° W	Harmonic
Gibson Point, 0.8 miles East of (Depth 149ft)	PUG1531	6	47.2191° N	122.5887° W	Harmonic
Steilacoom, 0.8 miles North of (Depth 45ft)	PUG1532	16	47.1824° N	122.6056° W	Harmonic
Steilacoom, 0.8 miles North of (Depth 85ft)	PUG1532	13	47.1824° N	122.6056° W	Harmonic
Steilacoom, 0.8 miles North of (Depth 177ft)	PUG1532	6	47.1824° N	122.6056° W	Harmonic
Ketron Island, West of (Depth 38ft)	PUG1533	18	47.1486° N	122.6594° W	Harmonic
Ketron Island, West of (Depth 90ft)	PUG1533	14	47.1486° N	122.6594° W	Harmonic
Ketron Island, West of (Depth 143ft)	PUG1533	10	47.1486° N	122.6594° W	Harmonic
Nisqually Reach, 0.5 miles South of Lyle Point (Depth 29ft)	PUG1534	16	47.1169° N	122.6988° W	Harmonic
Nisqually Reach, 0.5 miles South of Lyle Point (Depth 68ft)	PUG1534	12	47.1169° N	122.6988° W	Harmonic
Nisqually Reach, 0.5 miles South of Lyle Point (Depth 177ft)	PUG1534	1	47.1169° N	122.6988° W	Harmonic
Balch Passage, NE of Eagle Island (Depth 11ft)	PUG1535	16	47.1906° N	122.6916° W	Harmonic
Balch Passage, NE of Eagle Island (Depth 30ft)	PUG1535	10	47.1906° N	122.6916° W	Harmonic
Balch Passage, NE of Eagle Island (Depth 60ft)	PUG1535	1	47.1906° N	122.6916° W	Harmonic
Pitt Passage, NE of Pitt Island (Depth 7ft)	PUG1536	6	47.2238° N	122.7114° W	Harmonic
Pitt Passage, NE of Pitt Island (Depth 23ft)	PUG1536	1	47.2238° N	122.7114° W	Harmonic
Drayton Passage (Depth 19ft)	PUG1537	20	47.1726° N	122.7415° W	Harmonic
Drayton Passage (Depth 52ft)	PUG1537	15	47.1726° N	122.7415° W	Harmonic
Drayton Passage (Depth 118ft)	PUG1537	5	47.1726° N	122.7415° W	Harmonic
Devils Head, West of (Depth 24ft)	PUG1538	22	47.1607° N	122.7894° W	Harmonic
Devils Head, West of (Depth 83ft)	PUG1538	16	47.1607° N	122.7894° W	Harmonic
Devils Head, West of (Depth 191ft)	PUG1538	5	47.1607° N	122.7894° W	Harmonic
Dana Passage (Depth 16ft)	PUG1539	12	47.1631° N	122.8681° W	Harmonic
Dana Passage (Depth 43ft)	PUG1539	8	47.1631° N	122.8681° W	Harmonic
Dana Passage (Depth 88ft)	PUG1539	1	47.1631° N	122.8681° W	Harmonic
Budd Inlet Entrance (Depth 12ft)	PUG1540	10	47.1402° N	122.9214° W	Harmonic
Budd Inlet Entrance (Depth 32ft)	PUG1540	7	47.1402° N	122.9214° W	Harmonic
Budd Inlet Entrance (Depth 71ft)	PUG1540	1	47.1402° N	122.9214° W	Harmonic
Eld Inlet entrance (Depth 15ft)	PCT1861	1	47.1463° N	122.9333° W	Subordinate
Peale Passage, South end (Depth 9ft)	PUG1541	9	47.1750° N	122.8870° W	Harmonic
Peale Passage, South end (Depth 22ft)	PUG1541	5	47.1750° N	122.8870° W	Harmonic
Peale Passage, South end (Depth 35ft)	PUG1541	1	47.1750° N	122.8870° W	Harmonic
Peale Passage, North end (Depth 4ft)	PUG1542	5	47.2175° N	122.9146° W	Harmonic
Peale Passage, North end (Depth 17ft)	PUG1542	1	47.2175° N	122.9146° W	Harmonic
Squaxin Passage, North of Hunter Point (Depth 5ft)	PUG1543	9	47.1763° N	122.9190° W	Harmonic
Squaxin Passage, North of Hunter Point (Depth 18ft)	PUG1543	5	47.1763° N	122.9190° W	Harmonic
Squaxin Passage, North of Hunter Point (Depth 32ft)	PUG1543	1	47.1763° N	122.9190° W	Harmonic
Totten Inlet Entrance (Depth 14ft)	PUG1544	11	47.1882° N	122.9454° W	Harmonic
Totten Inlet Entrance (Depth 41ft)	PUG1544	7	47.1882° N	122.9454° W	Harmonic
Totten Inlet Entrance (Depth 67ft)	PUG1544	3	47.1882° N	122.9454° W	Harmonic
Libby Point, Hammersley Inlet (Depth 5ft)	PUG1545	10	47.1989° N	122.9890° W	Harmonic
Libby Point, Hammersley Inlet (Depth 19ft)	PUG1545	1	47.1989° N	122.9890° W	Harmonic
Hammersley Inlet, west of Skookum Point (Depth 15ft)	PCT1896	1	47.2070° N	123.0395° W	Subordinate
Pickering Passage, West of Squaxin Island (Depth 9ft)	PUG1546	14	47.2193° N	122.9345° W	Harmonic
Pickering Passage, West of Squaxin Island (Depth 29ft)	PUG1546	8	47.2193° N	122.9345° W	Harmonic
Pickering Passage, West of Squaxin Island (Depth 52ft)	PUG1546	1	47.2193° N	122.9345° W	Harmonic
Pickering Passage, off Graham Point (Depth 10ft)	PUG1547	16	47.2473° N	122.9259° W	Harmonic
Pickering Passage, off Graham Point (Depth 30ft)	PUG1547	10	47.2473° N	122.9259° W	Harmonic
Pickering Passage, off Graham Point (Depth 59ft)	PUG1547	1	47.2473° N	122.9259° W	Harmonic
Pickering Passage, North end (Depth 19ft)	PUG1548	10	47.3057° N	122.8509° W	Harmonic
